question,answers,wrongChoices,explanation,ordered,generatedWrongChoices
10進数の整数を2進数に変換する方法は？,2で割り続けて余りを下から読む,2を掛け続けて整数部を上から読む;各桁に2のべき乗を掛けて合計する;2桁ずつグループ化する,"例: 13₁₀ → 13÷2=6…1, 6÷2=3…0, 3÷2=1…1, 1÷2=0…1 → 余りを下から読んで 1101₂",,
10進数の小数を2進数に変換する方法は？,2を掛け続けて整数部を上から読む,2で割り続けて余りを下から読む;小数点以下を4桁ずつ区切る;各桁に2のべき乗を掛けて合計する,"例: 0.625₁₀ → 0.625×2=1.25(1), 0.25×2=0.5(0), 0.5×2=1.0(1) → 0.101₂",,
2進数を8進数に変換する方法は？,右から3桁ずつ区切り各グループを8進数1桁に変換,右から4桁ずつ区切り各グループを変換;8で割り続けて余りを読む;各桁に8のべき乗を掛ける,8=2³ なので3桁ずつグループ化。例: 10110101₂ → 010|110|101 → 265₈,,
2進数を16進数に変換する方法は？,右から4桁ずつ区切り各グループを16進数1桁に変換,右から3桁ずつ区切り各グループを変換;16で割り続けて余りを読む;各桁に16のべき乗を掛ける,16=2⁴ なので4桁ずつグループ化。例: 10110101₂ → 1011|0101 → B5₁₆,,
n進数を10進数に変換する方法は？,各桁にnのべき乗の重みを掛けて合計する,nで割り続けて余りを下から読む;右からn桁ずつグループ化する;nを掛け続けて整数部を読む,例: 1101₂ → 1×2³+1×2²+0×2¹+1×2⁰ = 8+4+0+1 = 13₁₀,,
10進数 13 を2進数に変換せよ,1101,1011;1110;1010,"13÷2=6…1, 6÷2=3…0, 3÷2=1…1, 1÷2=0…1 → 余りを下から読んで 1101",,
10進数 25 を2進数に変換せよ,11001,10101;11010;10011,"25÷2=12…1, 12÷2=6…0, 6÷2=3…0, 3÷2=1…1, 1÷2=0…1 → 11001",,
10進数 100 を2進数に変換せよ,1100100,1100010;1010100;1110100,"100→50→25→12→6→3→1→0 余り: 0,0,1,0,0,1,1 → 下から読んで 1100100",,
2進数 1011 を10進数に変換せよ,11,9;13;10,1×2³+0×2²+1×2¹+1×2⁰ = 8+0+2+1 = 11,,
2進数 11010 を10進数に変換せよ,26,22;28;24,1×16+1×8+0×4+1×2+0×1 = 16+8+2 = 26,,
2進数 10000000 を10進数に変換せよ,128,64;256;127,1×2⁷ = 128,,
2進数 10110101 を8進数に変換せよ,265,275;255;365,010|110|101 → 2|6|5 → 265₈,,
8進数 37 を2進数に変換せよ,11111,10111;11101;11011,"3₈→011₂, 7₈→111₂ → 011111 → 先頭の0を省略して 11111₂",,
8進数 752 を2進数に変換せよ,111101010,111100010;110101010;111110010,"7₈→111₂, 5₈→101₂, 2₈→010₂ → 111101010₂",,
2進数 10110101 を16進数に変換せよ,B5,A5;C5;B4,1011|0101 → B(=11)|5 → B5₁₆,,
2進数 11111111 を16進数に変換せよ,FF,EF;FE;F0,1111|1111 → F(=15)|F(=15) → FF₁₆,,
16進数 2A を2進数に変換せよ,101010,100110;110010;101100,"2₁₆→0010₂, A₁₆(=10)→1010₂ → 00101010 → 101010₂",,
16進数 C3 を2進数に変換せよ,11000011,11000101;11010011;10110011,"C₁₆(=12)→1100₂, 3₁₆→0011₂ → 11000011₂",,
10進数 255 を16進数に変換せよ,FF,FE;EF;F0,"255÷16=15…15(F), 15÷16=0…15(F) → FF₁₆",,
10進数 200 を16進数に変換せよ,C8,C6;D8;B8,200÷16=12…8 → 12=C → C8₁₆,,
16進数 FF を10進数に変換せよ,255,256;254;240,15×16¹+15×16⁰ = 240+15 = 255,,
16進数 1A を10進数に変換せよ,26,28;24;30,1×16¹+10×16⁰ = 16+10 = 26,,
