question,answers,wrongChoices,explanation,ordered,generatedWrongChoices,category
繁殖農家 とは？,和牛の子牛を生産するために、繁殖雌牛を飼養し、人工授精や受精卵移植で妊娠・出産させる農家。肥育農家とは別の専業経営体。,,Tag: 繁殖・肥育 / カテゴリ: メインフロー / 要点: 川上の担い手｜飼養戸数は半減（8.5万戸→3.6万戸）｜1戸あたり頭数は倍増（32頭→73頭）｜出荷先は子牛セリ市（全国96ヶ所）,,,メインフロー
繁殖雌牛 とは？,子牛を産むために飼養されるメス牛。繁殖農家が飼養する主体。,,Tag: 繁殖・肥育 / カテゴリ: メインフロー / 要点: 1分娩1頭｜妊娠期間約285日｜黒毛和種母牛の99.9%に田尻号の遺伝子,,,メインフロー
人工授精 とは？,種雄牛の精液を人為的に雌牛の子宮に注入して妊娠させる技術。略称AI。,,Tag: 繁殖・肥育 / カテゴリ: メインフロー / 要点: 優良遺伝子の効率的普及｜疾病リスク低減｜家畜改良センター・民間から精液購入,,,メインフロー
受精卵移植 とは？,優秀な雌牛から採取した受精卵を、別の雌牛（受卵牛）の子宮に移植し妊娠・出産させる技術。略称ET。,,Tag: 繁殖・肥育 / カテゴリ: メインフロー / 要点: 1頭から年間複数頭生産可能｜受卵牛に乳用牛も利用｜高品質素牛の増産に寄与,,,メインフロー
子牛生産 とは？,繁殖雌牛の妊娠・出産・育成を通じて、肥育用の素牛となる子牛を生産するプロセス。,,Tag: 繁殖・肥育 / カテゴリ: メインフロー / 要点: 妊娠285日｜1分娩1頭｜育成8〜9ヶ月齢まで｜セリ市へ出荷,,,メインフロー
育成 とは？,出生から肥育段階に入る前まで（生後8〜9ヶ月齢）の期間、繁殖農家で飼養する段階。,,Tag: 繁殖・肥育 / カテゴリ: メインフロー / 要点: 発育・健全な素牛づくり｜出荷時体重約300kg｜出荷先は子牛セリ市,,,メインフロー
子牛セリ市 とは？,繁殖農家が出荷した子牛を、肥育農家が競りで購入する家畜取引市場。,,Tag: 繁殖・肥育 / カテゴリ: メインフロー / 要点: 全国約96ヶ所｜2024年平均53.9万円/頭｜2025年6月約64万円｜鹿児島・宮崎・但馬・矢板等,,,メインフロー
肥育 とは？,セリ市で購入した素牛を約20〜22ヶ月間飼養し、出荷体重約700〜750kgまで仕上げる段階。,,Tag: 繁殖・肥育 / カテゴリ: メインフロー / 要点: 1次産業の最終工程｜霜降り形成が目的｜米国より肥育期間が長い（霜降り重視）,,,メインフロー
肥育前期 とは？,肥育第1段階。9〜14ヶ月齢。ルーメン発達と濃厚飼料適応が目的。,,Tag: 繁殖・肥育 / カテゴリ: 飼養 / 要点: 濃厚飼料4〜8.5kg/日｜粗飼料を十分に給与｜ルーメンアシドーシスに注意,,,飼養
肥育中期 とは？,肥育第2段階。15〜21ヶ月齢。脂肪交雑（霜降り）形成が核心。,,Tag: 繁殖・肥育 / カテゴリ: 飼養 / 要点: 濃厚飼料9〜10.5kg/日｜ビタミンAコントロールが最重要技術｜血中30〜50IU/dl維持,,,飼養
